id,name,meal_type,base_servings,steps,tags
88,Skyr tiramisu z espresso i kakao,sniadanie,1,Wymieszaj skyr z miodem||Wlej espresso do miski||Dodaj granole i wymieszaj||Przeloz do pucharka||Posyp kakao||Wstaw do lodowki na 15 min i podaj,szybkie|na_slodko
89,Kuskus z jogurtem mango i chia,sniadanie,1,Zalej kuskus goraca woda||Przykryj i odstaw 5 min||Rozdziel kuskus widelcem||Dodaj jogurt i wymieszaj||Dodaj mango w kostce||Posyp chia i skrop miodem,na_slodko|szybkie
90,Kanapki z kozim serem gruszka i miodem,sniadanie,1,Opiecz chleb na suchej patelni||Posmaruj kozim serem||Dodaj gruszke w plasterkach||Posyp orzechami||Skrop miodem||Posyp cynamonem i podaj,szybkie|na_slodko
91,Wrap tunczykowy z kukurydza i rukola,sniadanie,2,Odcedz tunczyka||Wymieszaj tunczyka z jogurtem i kukurydza||Dodaj cebule i sok z cytryny||Dopraw sola i pieprzem||Naloz paste na tortille i dodaj rukole||Zwin wrapy i podaj,szybkie|wytrawne
92,Zapiekane bataty z jajkiem i feta,sniadanie,1,Pokroj batata na grube plastry||Posmaruj olejem i piecz 200C 20 min||Na blaszce uloz szpinak||Poloz bataty na szpinaku||Wbij jajka obok batatow||Posyp feta i papryka slodka||Piecz 8 min do sciecia bialek i podaj,wytrawne|na_cieplo
93,Serek wiejski z granola i borowkami,sniadanie,1,Przeloz serek wiejski do miski||Dodaj granole||Dodaj borowki||Skrop miodem||Posyp chia i podaj,szybkie|na_slodko
94,Kanapki z pasta z fasoli i awokado,sniadanie,2,Odcedz fasole i rozgniec||Dodaj awokado i wymieszaj||Dodaj cebule czosnek sok z cytryny i kmin||Dopraw sola i pieprzem||Posmaruj chleb pasta||Podaj od razu,fit|wytrawne
95,Placuszki kokosowe ze skyrem,sniadanie,2,Wymieszaj skyr z jajkami||Dodaj make proszek do pieczenia wiorki kokosowe wanilie i sol||Wymieszaj na gestą mase||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z miodem,na_slodko|wysokobialkowe
96,Jaglanka z makiem i rodzynkami,sniadanie,1,Przeplucz kasze jaglana||Wlej mleko i wode do garnka||Dodaj kasze i gotuj 15 min||Dodaj mak wanilie i szczyptę soli||Dodaj rodzynki i gotuj 1 min||Przeloz do miski i skrop miodem,na_slodko|sycace
97,Omlet caprese z mozzarella i pesto,sniadanie,1,Roztrzep jajka z sola i pieprzem||Rozgrzej patelnie z olejem||Wlej jajka i smaz 2 min||Dodaj mozzarella i pomidora||Dodaj pesto na wierzch||Przykryj 2 min i podaj,wytrawne|szybkie
98,Jajka na twardo z pasta z awokado,sniadanie,1,Ugotuj jajka na twardo 8 min||Obierz jajka i przekroj na pol||Rozgniec awokado z jogurtem||Dodaj ogorka kiszonego i sok z cytryny||Dopraw sola i pieprzem||Naloz paste na jajka i posyp szczypiorkiem,wytrawne|szybkie
99,Owsianka z espresso i kakao,sniadanie,1,Zagotuj mleko w garnku||Wsyp platki owsiane i gotuj 4 min||Wlej espresso i wymieszaj||Dodaj kakao i szczyptę soli||Przeloz do miski||Dodaj banana i skrop miodem,na_slodko|sycace
100,Zielona shakshuka ze szpinakiem i feta,sniadanie,2,Podsmaz cebule na oleju 3 min||Dodaj czosnek papryke slodka i kmin||Dodaj passate i gotuj 6 min||Dodaj szpinak i gotuj 2 min||Dopraw sola i pieprzem||Zrob zaglebienia i wbij jajka||Przykryj i gotuj 6 min||Posyp feta i podaj,wytrawne|na_cieplo
101,Kurczak curry kokosowy z ryzem,obiad,2,Ugotuj ryz wedlug instrukcji||Pokroj kurczaka w kostke||Podsmaz cebule na oliwie 3 min||Dodaj czosnek kurkume kmin i chili i smaz 30 s||Dodaj kurczaka i smaz 5 min||Dodaj papryke||Wlej mleko kokosowe i dus 10 min||Podaj z ryzem,na_cieplo|jednogarnkowe
102,Spaghetti bolognese,obiad,4,Ugotuj makaron al dente||Podsmaz cebule na oliwie 3 min||Dodaj marchew i smaz 4 min||Dodaj czosnek i mieso mielone i smaz 6 min||Dodaj pomidory i koncentrat oraz oregano||Gotuj 15 min az sos zgestnieje||Podawaj z parmezanem,makaron|rodzinne
103,Penne z kurczakiem i pesto,obiad,2,Ugotuj penne al dente||Pokroj kurczaka w paski||Podsmaz kurczaka na oliwie 6 min||Dodaj czosnek i szpinak i poddusz 2 min||Dodaj pesto i wymieszaj||Wmieszaj makaron||Dodaj mozzarella i podaj,szybkie|makaron
104,Stir fry tofu z warzywami i ryzem,obiad,2,Ugotuj ryz wedlug instrukcji||Pokrusz tofu i osusz papierem||Podsmaz cebule na oliwie 2 min||Dodaj marchew papryke i imbir i smaz 5 min||Dodaj tofu i smaz 4 min||Wlej sos sojowy i dopraw||Posyp sezamem||Podaj z ryzem,wege|szybkie|azjatyckie
105,Leczo z cukinia i kielbasa,obiad,3,Pokroj kielbase i warzywa w kostke||Podsmaz cebule na oliwie 3 min||Dodaj kielbase i smaz 4 min||Dodaj papryke i cukinie i smaz 5 min||Wlej passate||Dodaj papryke slodka i dopraw||Dusz 15 min i podaj,jednogarnkowe|na_cieplo
106,Pieczony losos z ziemniakami i brokulem,obiad,2,Nagrzej piekarnik do 200C||Pokroj ziemniaki i wymieszaj z oliwa i sola||Piecz ziemniaki 25 min||Dodaj brokul na blache na 12 min||Poloz lososia na papierze i skrop cytryna||Posyp koperkiem i pieprzem||Piecz lososia 12 min||Podaj wszystko razem,pieczone|fit
107,Zupa pomidorowa z makaronem,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Wlej bulion i passate||Dodaj koncentrat i bazylie||Gotuj 12 min||Wlej smietanke i dopraw||Ugotuj makaron nitki osobno||Podawaj z makaronem,zupa|rodzinne
108,Chili con carne z ryzem,obiad,4,Ugotuj ryz wedlug instrukcji||Podsmaz cebule na oliwie 3 min||Dodaj czosnek i mieso mielone i smaz 6 min||Dodaj kmin papryke slodka i chili||Dodaj pomidory fasole i kukurydze||Gotuj 20 min az sos zgestnieje||Dopraw i podaj z ryzem,pikantne|jednogarnkowe
109,Kotlety z indyka z kasza gryczana i mizeria,obiad,2,Ugotuj kasze gryczana||Posiekaj indyka i cebule||Wymieszaj z jajkiem maka i natka||Uformuj kotleciki i smaz na oleju 3 min z kazdej strony||Pokroj ogorka w plastry||Wymieszaj ogorka z jogurtem i cytryna||Podaj kotlety z kasza i mizeria,domowe|na_cieplo
110,Salatka grecka z kurczakiem,obiad,2,Usmaz kurczaka na oliwie 6 min||Pokroj ogorka i pomidora||Dodaj rukole i oliwki||Pokrusz fete||Wymieszaj oliwe z cytryna i oregano||Polej sosem i dopraw||Dodaj kurczaka na wierzch i podaj,fit|salatka
111,Risotto z pieczarkami i parmezanem,obiad,2,Podsmaz cebule na oliwie 3 min||Dodaj pieczarki i smaz 6 min||Dodaj ryz i mieszaj 1 min||Wlewaj bulion partiami i mieszaj 18 min||Dodaj maslo i parmezan||Dopraw i posyp natka||Podaj od razu,kremowe|na_cieplo
112,Gulasz z soczewicy czerwonej,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj marchew i smaz 4 min||Dodaj czosnek kmin papryke i chili||Wsyp soczewice i wymieszaj||Dodaj pomidory i bulion||Gotuj 20 min az soczewica zmieknie||Dopraw i podaj,wege|jednogarnkowe
113,Placki ziemniaczane z sosem czosnkowym,obiad,2,Zetrzyj ziemniaki i cebule||Odciśnij mase i dodaj jajko i make||Dopraw sola i pieprzem||Rozgrzej olej i smaz placki 3 min z kazdej strony||Wymieszaj jogurt z czosnkiem i koperkiem||Dopraw sos||Podaj placki z sosem,domowe|na_cieplo
114,Spaghetti carbonara,obiad,2,Ugotuj makaron al dente||Podsmaz boczek na suchej patelni||Roztrzep jajka z parmezanem||Odcedz makaron i zostaw odrobine wody||Wymieszaj makaron z boczkiem||Zdejmij z ognia i dodaj sos jajeczny||Dopraw pieprzem i podaj,szybkie|makaron
115,Zapiekanka penne z brokulem i kurczakiem,obiad,4,Ugotuj penne 2 min krocej||Pokroj kurczaka i podsmaz na oliwie 6 min||Podziel brokul i obgotuj 3 min||Wymieszaj makaron kurczaka brokul i smietanke||Dopraw i przeloz do naczynia||Posyp serem||Zapiecz 20 min w 190C||Podaj na cieplo,zapiekanka|rodzinne
116,Tacos z fasola i kukurydza,obiad,2,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i przyprawy||Dodaj pomidory fasole i kukurydze||Gotuj 10 min az farsz zgestnieje||Podgrzej tortille||Naloz farsz i dodaj rukole||Posyp serem i podaj,szybkie|meksykanskie
117,Krem z dyni z mlekiem kokosowym,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i imbir i smaz 30 s||Dodaj dynie w kostce||Wlej bulion i gotuj 20 min||Zblenduj na gladko||Wlej mleko kokosowe i dopraw||Posyp pestkami dyni||Podaj na cieplo,zupa|fit
118,Dorsz pieczony z warzywami,obiad,2,Nagrzej piekarnik do 200C||Pokroj warzywa w paski||Wymieszaj warzywa z oliwa i ziolami||Uloz warzywa na blasze||Poloz dorsza i skrop cytryna||Piecz 18 min||Dopraw i podaj,pieczone|fit
119,Kurczak w sosie pomidorowym z mozzarella,obiad,2,Podsmaz cebule na oliwie 3 min||Dodaj czosnek||Dodaj kurczaka w kostce i smaz 6 min||Wlej passate i dodaj bazylie||Gotuj 12 min||Dodaj mozzarella i przykryj 2 min||Dopraw i podaj,na_cieplo|sos
120,Kuskus z warzywami i ciecierzyca,obiad,2,Zalej kuskus goraca woda i odstaw 5 min||Podsmaz cebule na oliwie 3 min||Dodaj papryke i cukinie i smaz 6 min||Dodaj ciecierzyce i ziola||Wymieszaj z kuskusem||Dodaj fete||Skrop cytryna i dopraw||Podaj,wege|szybkie
121,Kaszotto z burakiem i kozim serem,obiad,2,Ugotuj kasze gryczana||Podsmaz cebule na oliwie 3 min||Dodaj szpinak i poddusz 2 min||Dodaj buraki w kostce||Wmieszaj ugotowana kasze||Dopraw sola i pieprzem||Dodaj kozi ser i orzechy||Podaj,wege|sycace
122,Makaron z tunczykiem i kukurydza,obiad,2,Ugotuj penne al dente||Podsmaz cebule na oliwie 2 min||Dodaj czosnek i smaz 30 s||Dodaj tunczyka i kukurydze||Dodaj jogurt i cytryne i wymieszaj||Polacz z makaronem||Posyp natka i podaj,szybkie|makaron
123,Bataty zapiekane z ciecierzyca i feta,obiad,2,Nagrzej piekarnik do 200C||Pokroj bataty w kostke i wymieszaj z oliwa||Piecz 25 min||Dodaj ciecierzyce i przyprawy||Dodaj szpinak na 3 min||Wyjmij i dodaj fete||Dopraw i podaj,pieczone|wege
124,Kurczak stir fry z makaronem ryzowym,obiad,2,Ugotuj makaron ryzowy wedlug instrukcji||Pokroj kurczaka w paski||Podsmaz cebule na oliwie 2 min||Dodaj marchew papryke imbir i smaz 5 min||Dodaj kurczaka i smaz 6 min||Wlej sos sojowy i dopraw||Wymieszaj z makaronem||Posyp sezamem i podaj,szybkie|azjatyckie
125,Zupa ogorkowa,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj marchew i smaz 3 min||Wlej bulion i dodaj ziemniaki||Gotuj 12 min||Zetrzyj ogorki kiszone i dodaj do garnka||Gotuj 8 min||Dodaj smietanke i koperek||Dopraw i podaj,zupa|domowe
126,Bigos szybki z kielbasa,obiad,4,Pokroj kielbase i cebule||Podsmaz cebule na oliwie 3 min||Dodaj kielbase i smaz 4 min||Dodaj kapuste kiszona i biala||Dodaj czosnek i koncentrat||Dodaj ziola i dopraw||Dusz 35 min mieszajac||Podaj gorace,jednogarnkowe|domowe
127,Fasolka po bretonsku,obiad,4,Podsmaz boczek na patelni||Dodaj cebule i smaz 3 min||Dodaj kielbase i smaz 4 min||Dodaj czosnek i papryke slodka||Dodaj pomidory i koncentrat||Dodaj fasole i wymieszaj||Gotuj 20 min||Dopraw i podaj,jednogarnkowe|sycace
128,Placki z cukinii z feta i sosem jogurtowym,obiad,2,Zetrzyj cukinie i odcisnij||Dodaj jajka make czosnek i koperek||Dodaj fete i wymieszaj||Rozgrzej oliwe i smaz placki 3 min z kazdej strony||Wymieszaj jogurt z czosnkiem||Dopraw sos||Podaj placki z sosem,wege|szybkie
129,Salatka quinoa z feta i oliwkami,obiad,2,Ugotuj quinoa i ostudz||Pokroj ogorka i pomidora||Dodaj rukole i oliwki||Dodaj fete||Wymieszaj oliwe z cytryna i oregano||Polacz skladniki i dopraw||Podaj,fit|salatka
130,Ryz smazony z jajkiem i warzywami,obiad,2,Ugotuj ryz i ostudz||Pokroj marchew w drobna kostke||Podsmaz cebule na oliwie 2 min||Dodaj marchew i groszek i smaz 5 min||Dodaj czosnek||Przesun warzywa i wbij jajka||Dodaj ryz i sos sojowy i wymieszaj||Posyp sezamem i podaj,szybkie|azjatyckie
131,Zupa jarzynowa z brokulem i groszkiem,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Dodaj ziemniaki i marchew w kostce||Wlej bulion i gotuj 12 min||Dodaj brokul i groszek i gotuj 6 min||Dopraw i posyp natka pietruszki,zupa|domowe
132,Makaron penne w sosie smietanowym z kurczakiem i pieczarkami,obiad,2,Ugotuj penne al dente||Podsmaz cebule na oliwie 3 min||Dodaj pieczarki i smaz 6 min||Dodaj kurczaka i smaz 6 min||Wlej smietanke i gotuj 3 min||Wymieszaj z makaronem i posyp parmezanem,makaron|szybkie
133,Spaghetti arrabbiata z oliwkami,obiad,2,Ugotuj spaghetti al dente||Podsmaz czosnek na oliwie 30 s||Dodaj chili pomidory i koncentrat||Gotuj 12 min az sos zgestnieje||Dodaj oliwki i oregano||Wymieszaj z makaronem i posyp parmezanem,makaron|pikantne
134,Pulpeciki w sosie pomidorowym z ryzem,obiad,4,Ugotuj ryz wedlug instrukcji||Wymieszaj mieso z jajkiem cebula sola i pieprzem||Uformuj pulpeciki||Podsmaz pulpeciki na oliwie 6 min||Dodaj pomidory i oregano||Dusz 15 min i podaj z ryzem,domowe|na_cieplo
135,Indyk z makaronem ryzowym i warzywami,obiad,2,Ugotuj makaron ryzowy||Podsmaz cebule na oleju 2 min||Dodaj imbir i czosnek||Dodaj indyka i smaz 6 min||Dodaj marchew i papryke i smaz 5 min||Wlej sos sojowy wymieszaj i posyp sezamem,azjatyckie|szybkie
136,Quinoa z pieczonym lososiem i brokulem,obiad,2,Ugotuj quinoa i odstaw||Podziel brokul na rozyczki||Upiecz lososia 12 min w 200C||Ugotuj brokul 4 min||Wymieszaj quinoa z warzywami rukola i oliwa||Dodaj lososia i skrop cytryna,fit|pieczone
137,Dorsz w sosie kokosowym z ryzem i brokulem,obiad,2,Ugotuj ryz wedlug instrukcji||Podsmaz cebule na oliwie 3 min||Dodaj czosnek imbir i chili||Wlej mleko kokosowe i gotuj 4 min||Dodaj dorsza i duś 10 min||Podaj z ryzem i brokulem,na_cieplo|fit
138,Leczo z ciecierzyca i cukinia,obiad,3,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Dodaj papryke i cukinie i smaz 6 min||Wlej passate i dopraw papryka slodka||Dodaj ciecierzyce i dus 12 min||Dopraw sola i pieprzem i podaj,wege|jednogarnkowe
139,Krem z brokula z grzankami,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Dodaj brokul i wlej bulion||Gotuj 12 min do miekkosci||Zblenduj i dodaj smietanke||Usmaz grzanki na masle i podaj,zupa|kremowe
140,Kapusniak z kiszonej kapusty i kielbasa,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj kielbase i smaz 4 min||Dodaj marchew i ziemniaki w kostce||Dodaj kapuste kiszona i wlej bulion||Gotuj 25 min||Dopraw ziolami i pieprzem i podaj,zupa|domowe
141,Zapiekanka ziemniaczana z kielbasa i serem,obiad,4,Nagrzej piekarnik do 190C||Pokroj ziemniaki i podgotuj 8 min||Podsmaz cebule i kielbase 6 min||Wymieszaj smietanke z przyprawami||Uloz warstwy ziemniakow i kielbasy||Zalej smietanka posyp serem i piecz 30 min,zapiekanka|sycace
142,Spaghetti aglio e olio z chili,obiad,2,Ugotuj spaghetti al dente||Podsmaz czosnek na oliwie 30 s||Dodaj chili i wymieszaj||Dodaj makaron i odrobine wody z gotowania||Wymieszaj z natka pietruszki||Dopraw i posyp parmezanem,szybkie|makaron
143,Quinoa z tofu i brokulem w stylu azjatyckim,obiad,2,Ugotuj quinoa||Podsmaz cebule na oleju 2 min||Dodaj imbir i czosnek||Dodaj tofu i smaz 6 min||Dodaj marchew i brokul i smaz 6 min||Wlej sos sojowy posyp sezamem i podaj,wege|azjatyckie
144,Curry z soczewicy i dyni z ryzem,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek imbir kurkume i chili||Dodaj dynie w kostce i smaz 3 min||Wsyp soczewice i wlej mleko kokosowe||Gotuj 20 min az zgestnieje||Podaj z ryzem,wege|jednogarnkowe
145,Salatka makaronowa z tunczykiem i kukurydza,obiad,3,Ugotuj penne i ostudz||Pokroj ogorka i pomidora||Wymieszaj makaron z tunczykiem i kukurydza||Dodaj jogurt i sok z cytryny||Dopraw sola i pieprzem||Posyp natka pietruszki i podaj,salatka|szybkie
146,Cukinia faszerowana miesem mielonym i pomidorami,obiad,2,Przekroj cukinie i wydraz srodek||Podsmaz cebule na oliwie 3 min||Dodaj czosnek i mieso i smaz 6 min||Dodaj pomidory i oregano i gotuj 8 min||Naloz farsz do cukinii||Posyp serem i piecz 20 min w 200C,pieczone|domowe
147,Kurczak z brokulem w sosie sojowym i sezamie,obiad,2,Ugotuj ryz wedlug instrukcji||Podsmaz kurczaka na oleju 6 min||Dodaj imbir i czosnek||Dodaj marchew i brokul i smaz 6 min||Wlej sos sojowy i wymieszaj||Posyp sezamem i podaj z ryzem,azjatyckie|szybkie
148,Kotleciki z ciecierzycy z sosem jogurtowym,obiad,2,Odcedz ciecierzyce i rozgniec||Dodaj jajko cebule czosnek make i natke||Dopraw i uformuj kotleciki||Smaz na oleju 3 min z kazdej strony||Wymieszaj jogurt z koperkiem i cytryna||Podaj kotleciki z sosem,wege|szybkie
149,Gulasz z fasoli bialej i kielbasy,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj kielbase i smaz 4 min||Dodaj czosnek i ziola||Dodaj pomidory i fasole||Gotuj 20 min az zgestnieje||Dopraw i podaj,jednogarnkowe|sycace
150,Minestrone z warzywami i makaronem,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek marchew i cukinie||Wlej bulion i dodaj pomidory||Dodaj fasole i gotuj 12 min||Dodaj makaron i gotuj 6 min||Dopraw bazylia i podaj,zupa|wege
151,Makaron ryzowy z lososiem i szpinakiem w sosie smietanowym,obiad,2,Ugotuj makaron ryzowy||Podsmaz cebule na oliwie 3 min||Dodaj czosnek i lososia i smaz 4 min||Dodaj szpinak i poddusz 2 min||Wlej smietanke i gotuj 3 min||Wymieszaj z makaronem i skrop cytryna,makaron|na_cieplo
152,Kasza gryczana z pieczarkami szpinakiem i feta,obiad,2,Ugotuj kasze gryczana||Podsmaz cebule na oliwie 3 min||Dodaj pieczarki i smaz 6 min||Dodaj czosnek i szpinak i poddusz 2 min||Wymieszaj z kasza i dopraw||Dodaj fete i podaj,sycace|wege
153,Pieczony indyk z batatami i brokulem,obiad,2,Nagrzej piekarnik do 200C||Pokroj batata i wymieszaj z oliwa||Uloz batata i piecz 20 min||Dodaj indyka doprawionego ziolami||Dodaj brokul i piecz 15 min||Skrop cytryna i podaj,pieczone|fit
154,Tacos z kurczakiem i salsa pomidorowa,obiad,2,Usmaz kurczaka na oliwie 6 min||Pokroj pomidora cebule i wymieszaj z cytryna||Dopraw salsa sola pieprzem i chili||Podgrzej tortille na suchej patelni||Naloz kurczaka rukole i ser||Dodaj salsa i zwin tacos,szybkie|meksykanskie
155,Chili sin carne z ryzem,obiad,4,Ugotuj ryz wedlug instrukcji||Podsmaz cebule na oliwie 3 min||Dodaj czosnek chili kmin i papryke||Dodaj pomidory fasole ciecierzyce i kukurydze||Gotuj 20 min az zgestnieje||Dopraw i podaj z ryzem,wege|pikantne
156,Spaghetti z sosem dyniowym i parmezanem,obiad,2,Ugotuj spaghetti al dente||Podsmaz cebule na oliwie 3 min||Dodaj czosnek i dynie w kostce||Wlej smietanke i gotuj 12 min||Dopraw bazylia i zblenduj na sos||Wymieszaj z makaronem i posyp parmezanem,makaron|kremowe
157,Ryz smazony z kurczakiem i groszkiem,obiad,2,Ugotuj ryz i ostudz||Podsmaz cebule na oleju 2 min||Dodaj kurczaka i smaz 6 min||Dodaj marchew i groszek i smaz 5 min||Wbij jajka i wymieszaj||Dodaj ryz sos sojowy posyp sezamem i podaj,szybkie|azjatyckie
158,Salatka quinoa z burakiem i kozim serem,obiad,2,Ugotuj quinoa i ostudz||Pokroj buraki w kostke||Dodaj rukole i buraki do miski||Dodaj kozi ser i orzechy||Polej oliwa i cytryna||Dopraw i podaj,fit|salatka
159,Zupa z soczewicy i pomidorow,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i oregano||Dodaj soczewice pomidory i bulion||Gotuj 20 min do miekkosci||Dodaj smietanke i dopraw||Podaj na cieplo,zupa|jednogarnkowe
160,Penne z brokulem i feta,obiad,2,Ugotuj penne al dente||Ugotuj brokul 4 min||Podsmaz czosnek na oliwie 30 s||Dodaj brokul i dopraw oregano||Wymieszaj z makaronem i skrop cytryna||Dodaj fete i podaj,szybkie|makaron
161,Tagliatelle z kurczakiem i szpinakiem w sosie smietanowym,obiad,2,Ugotuj tagliatelle al dente||Podsmaz cebule na oliwie 3 min||Dodaj kurczaka i smaz 6 min||Dodaj czosnek i szpinak i poddusz 2 min||Wlej smietanke i gotuj 3 min||Wymieszaj z makaronem||Posyp parmezanem i podaj,makaron|szybkie
162,Gulasz z indyka z papryka i cukinia,obiad,3,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i papryke slodka||Dodaj indyka i smaz 6 min||Dodaj papryke i cukinie i smaz 5 min||Dodaj pomidory z puszki||Dusz 15 min az zgestnieje||Dopraw oregano sola i pieprzem,jednogarnkowe|na_cieplo
163,Krem z marchewki i imbiru z mlekiem kokosowym,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i imbir i smaz 30 s||Dodaj marchew w plasterkach||Wlej bulion i gotuj 18 min||Zblenduj na gladko||Wlej mleko kokosowe i podgrzej 2 min||Dopraw sola i pieprzem,zupa|fit
164,Ryz basmati z kurczakiem i brokulem w sosie sojowym,obiad,2,Ugotuj ryz basmati wedlug instrukcji||Podsmaz cebule na oleju 2 min||Dodaj kurczaka i smaz 6 min||Dodaj marchew i brokul i smaz 6 min||Dodaj czosnek i wymieszaj||Wlej sos sojowy i dopraw||Posyp sezamem||Podaj z ryzem,azjatyckie|szybkie
165,Bulgur z ciecierzyca warzywami i feta,obiad,2,Zalej bulgur goraca woda i odstaw 10 min||Podsmaz cebule na oliwie 3 min||Dodaj papryke i cukinie i smaz 6 min||Dodaj ciecierzyce i ziola prowansalskie||Wymieszaj z bulgurem||Skrop cytryna i dopraw||Dodaj fete i podaj,wege|szybkie
166,Baklazan zapiekany z pomidorami i mozzarella,obiad,3,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Dodaj pomidory z puszki i koncentrat||Gotuj 10 min az zgestnieje||Pokroj baklazan w plastry i uloz w naczyniu||Zalej sosem i dodaj mozzarella||Zapiecz 25 min w 200C||Dopraw bazylia sola i pieprzem,pieczone|wege
167,Kalafior curry kokosowy z quinoa,obiad,3,Ugotuj quinoa wedlug instrukcji||Podsmaz cebule na oliwie 3 min||Dodaj czosnek imbir kurkume i chili||Dodaj kalafior w rozyczkach i smaz 3 min||Wlej mleko kokosowe||Dusz 12 min do miekkosci||Dopraw sola i pieprzem||Podaj z quinoa,wege|jednogarnkowe
168,Zupa z fasolki szparagowej i ziemniakow,obiad,4,Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Dodaj ziemniaki i marchew w kostce||Wlej bulion i gotuj 12 min||Dodaj fasolke szparagowa i gotuj 8 min||Wlej smietanke i wymieszaj||Dodaj koperek i dopraw,zupa|domowe
169,Makaron ryzowy z dorszem i warzywami,obiad,2,Ugotuj makaron ryzowy wedlug instrukcji||Podsmaz cebule na oleju 2 min||Dodaj czosnek i imbir||Dodaj marchew i papryke i smaz 5 min||Dodaj dorsza i smaz 5 min||Wlej sos sojowy i wymieszaj||Dodaj makaron i wymieszaj||Posyp sezamem i podaj,azjatyckie|szybkie
170,Kotlety mielone z ziemniakami i surowka z kapusty,obiad,4,Ugotuj ziemniaki do miekkosci||Wymieszaj mieso z jajkiem cebula maka sola i pieprzem||Uformuj kotlety i smaz na oleju 3 min z kazdej strony||Posiekaj kapuste na cienkie paski||Wymieszaj kapuste z jogurtem i cytryna||Dopraw surowke||Podaj kotlety z ziemniakami i surowka,domowe|na_cieplo
171,Kurczak pieczony z dynia i ciecierzyca,obiad,3,Nagrzej piekarnik do 200C||Pokroj dynie w kostke i wymieszaj z oliwa||Dodaj ciecierzyce czosnek i ziola prowansalskie||Dodaj kurczaka doprawionego sola i pieprzem||Piecz 30 min mieszajac w polowie||Dopraw papryka slodka||Podaj na cieplo,pieczone|fit
172,Penne z brokulem w sosie serowym,obiad,3,Ugotuj penne al dente||Ugotuj brokul 4 min i odcedz||Podsmaz cebule na oliwie 3 min||Dodaj czosnek i smaz 30 s||Wlej smietanke i podgrzewaj 2 min||Dodaj ser i mieszaj do rozpuszczenia||Dodaj makaron i brokul||Dopraw i podaj,makaron|sycace
